Record #,Code / Description,Responsible Party,Unit,Correction Required By:,Status,Picture
HSNG-25-1197,"105.CMR.410.180: Temperature Requirements(A) The owner shall provide heat in every habitable room and every room containing a toilet, shower, or bathtub from September 15th through May 31st inclusive so that it shall be:(1) At least 68°F(20°C)between 7:00 A.M. and 11:00 P.M.; and (2) At least 64°F (17°C)between 11:01 P.M. and 6:59 A.M.(B) At no time shall the heating system, required by 105 CMR 410.160(A), used during the heating season cause the temperature to exceed 78°F(25°C)in any room.(Temperature at inspection below 68 degrees)",Owner,"","",Cited,""
HSNG-25-1191,105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms (A)(Smoke and CO detector missing in living room outside bedroom),Owner,Second floor unit,10/24/2025,Cited,""
HSNG-25-1185,105.CMR.410.150 Hot WaterThe owner shall provide and maintain in good operating condition facilities capable of heating and delivering hot water:(A) In a quantity and pressure sufficient to satisfy the ordinary use of all plumbing fixtures which normally need hot water for their proper use and function.(B) In a temperature range of not less than 110° F(430°C) and not greater than 130°F (540°C) for fixtures other than a bathtub or shower.(C) In a temperature range of not less than 110°F (430°C)and not greater than 120°F(480°C) for a bathtub or shower.,Owner,"",10/20/2025,Corrected,""
HSNG-25-1185,"HEAT IS UNSUFFICIENT 105.CMR.410.180 (A)Unit temperature 63 degrees upon inspectionHeating Systems 105.CMR.410.160A) The owner shall provide and maintain in good operating condition a heating system that includes a distribution system capable of heating every habitable room and every room containing a toilet, shower, or bathtub to such temperature required by 105 CMR 410.180.","","",10/20/2025,Corrected,1345650
HSNG-25-1185,TOILET DOES NOT FLUSH 105.CMR.410.235 (A) 3,Owner,"",10/20/2025,Cited,""
HSNG-25-1180,"Smoke Detectors and Carbon Monoxide Alarms 105.CMR.410. 330: (A) (Emergency no smoke detectors within unit) Owner’s Installation, Maintenance and Repair Responsibilities -  105.CMR.410.235 (A)(9)(Bathroom sink, drain, clogged) structural members -  105.CMR.410.500 (A) (1) (2) (Bathroom ceiling, water damage, bedroom number top window seal does not shut completely) ",Owner,"","",Cited,""
HSNG-25-1167,"Condemnation;No Water105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A) The following conditions, when found to exist in a residence, shall always be deemed conditions which may endanger or materially impair the health, or safety and well-being of a person or persons occupying the premises:(3) Shutoff and/or failure to restore electricity, gas, or water.(Water shut off)",Owner,"","",Corrected,""
HSNG-25-1167,105.CMR.410.130: Potable Water/Sanitary Drainage(A) The owner shall provide a supply of potable water sufficient in quantity and pressure to meet the ordinary needs of every occupant.( Water shut off in the Street),Owner,"","",Corrected,""
HSNG-25-1167,"105.CMR.410.003: General Provisions(A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(C) No owner or occupant shall cause any service, facility, equipment, or utility which is required to be made available by 105 CMR 410.000, or any optional service, facility, equipment, or utility provided by the owner, to be removed from or shut off from any occupied residence except for such temporary period as may be necessary during actual repairs or alterations and where reasonable notice of curtailment of service is given to the occupant, or during temporary emergencies when curtailment of service is approved by the board of health. If any such service, facility, equipment, or utility becomes curtailed, the responsible party shall take immediate steps to cause its restoration.(No water service)",Owner,"","",Corrected,""
HSNG-25-1164,"CURTAILMENT OF SERVICE 105.CMR.410.003 ( C )(Water services shut off due to nonpayment) Conditions Deemed to Endanger or Materially Impair Health or Safety - 105.CMR.410.630(3) LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Trash, litter, in front yard, sink, vanities, gas, cans, bulk items, etc.) ",Owner,"","",Cited,""
HSNG-25-1163,"Immediate condemnation of entire dwellingCURTAILMENT OF SERVICE 105.CMR.410.003 ( C )(Water services shut off on Sept 9, 2025 due to nonpayment) Conditions Deemed to Endanger or Materially Impair Health or Safety - 105.CMR.410.630(A) 1,3105.CMR.410.130 (A) Potable water/sanitary drainage (no water)",Owner,"","",Cited,""
HSNG-25-1161," 105.CMR.410.270 (A) (1)(Main entryway door to 292 Union St does not lock, neither does interior door, one of these doors must lock automatically for residence to be secured)",Owner,"",10/16/2025,Corrected,1344878
HSNG-25-1155,"Immediate condemnation of entire dwelling105.CMR.410.003: General Provisions(C)no water (shut off by Springfield Water & Sewer 9-15-2025 for non payment) and no Electricity (shut off by Eversource 5-15-2025 for non payment)105 CMR 410. 130(A) Portable water / Sanitary Drainage (NO WATER) 105 CMR 410. 630(A) 1,3,5 Conditions deemed to Endanger or Materially Impair Health or Safety",Owner,"","",Cited,""
HSNG-25-1154,"IMMEDIATE CONDEMNATION—ENTIRE DWELLING UNIT  ILLEGAL 3RD FLOOR 105 .CMR .410.003: (A)(C)General Provisions( Illegal 3rd floor unit , NO heat temp at time of inspection 67.4°F, No water , No electricity ) 105.CMR.410.130: (A)Potable Water/Sanitary Drainage( No water to dwelling unit )105.CMR.410.180: ( A 1)Temperature Requirements( Temp at time of inspection 67.4° F )105.CMR.410.200: (A)Provision and Metering of Electricity or Gas( no electricity to unit )105.CMR.410.235: (A 12,13)Owner’s Installation and Maintenance Responsibilities ( light fixtures not working , smoke detectors missing )105.CMR.410.260: (A)Means of Egress( third floor does not have two means of egress )105.CMR.410.330: (A)Smoke Detectors and Carbon Dioxide Detectors( smokes/ Co2 detectors missing )105.CMR.410.630: ( A 2,3,5,8,13, 15 )Conditions Deemed to Endanger or Materially Impair Health or Safety ",Owner,"","",Cited,""
HSNG-25-1154,"",Owner,"","",Cited,""
HSNG-25-1154,"",Owner,"","",Cited,""
HSNG-25-1154,"",Owner,"","",Cited,""
HSNG-25-1152,"Immediate condemnation of entire dwelling105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety (A) (1) (3) (5)(A) The following conditions, when found to exist in a residence, shall always be deemed conditions which may endanger or materially impair the health, or safety and well-being of a person or persons occupying the premises:(1) Failure to provide and maintain a supply of water sufficient in quantity, pressure and temperature, both hot and cold, to meet the ordinary needs of the occupant, required by 105 CMR 410.130, 410.140, and 410.150, for a period of 24 hours or longer.(3) Shutoff and/or failure to restore electricity, gas, or water.(Water shut off to entire dwelling from Water Department due to nonpayment)105.CMR.410.130: Potable Water/Sanitary Drainage (A)(A) The owner shall provide a supply of potable water sufficient in quantity and pressure to meet the ordinary needs of every occupant.(no water to dwelling) 410.003: General Provisions (C)(C) No owner or occupant shall cause any service, facility, equipment, or utility which is required to be made available by 105 CMR 410.000, or any optional service, facility, equipment, or utility provided by the owner, to be removed from or shut off from any occupied residence except for such temporary period as may be necessary during actual repairs or alterations and where reasonable notice of curtailment of service is given to the occupant, or during temporary emergencies when curtailment of service is approved by the board of health. If any such service, facility, equipment, or utility becomes curtailed, the responsible party shall take immediate steps to cause its restoration. (See M.G.L. c. 186, § 14).(water has been shut off to entire dwelling due to nonpayment on 10/6/25)",Owner,Entire dwelling,10/17/2025,Cited,""
HSNG-25-1151," 105.CMR.410.003 (C)(Water service shut off, no water supply for residence)",Owner,"",10/17/2025,Corrected,""
HSNG-25-1150,"105.CMR.410.003: General Provisions(C)( water shut off)105.CMR.410.130: Potable Water/Sanitary Drainage (A) ( water shut off)105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A)(1,3,5).",Owner,"",10/17/2025,Cited,1345056
HSNG-25-1143,105.CMR.410.003: General Provisions(C)(Water service shutoff),Owner,"","",Cited,""
HSNG-25-1142,"105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety (A) (1) (3)(A) The following conditions, when found to exist in a residence, shall always be deemed conditions which may endanger or materially impair the health, or safety and well-being of a person or persons occupying the premises:(1) Failure to provide and maintain a supply of water sufficient in quantity, pressure and temperature, both hot and cold, to meet the ordinary needs of the occupant, required by 105 CMR 410.130, 410.140, and 410.150, for a period of 24 hours or longer.(3) Shutoff and/or failure to restore electricity, gas, or water.(Water shut off to to entire dwelling from Water Department due to nonpayment)105.CMR.410.130: Potable Water/Sanitary Drainage (A)(A) The owner shall provide a supply of potable water sufficient in quantity and pressure to meet the ordinary needs of every occupant.(no water to dwelling) 410.003: General Provisions (A) (C)(water has been shut off to entire dwelling)",Owner,Entire dwelling,10/17/2025,Cited,""
HSNG-25-1141, 105.CMR.410.330 (A)(Dwelling unit has no smoke detectors installed),Owner,"",10/16/2025,Cited,1344866
HSNG-25-1137," 105.CMR.410.330 (A)(Dwelling unit does not have a carbon monoxide alarm, another smoke detector is required in unit due to its size, only one in the hallway)",Owner,"",10/16/2025,Corrected,1344797
HSNG-25-1136,"IMMEDIATE CONDEMNATION-ENTIRE DWELLING DUE TO FIRE105 CMR 410.003 (C) Genral Provisions(gas and electricity shut off due to fire)105 CMR 410.235 (A,12,13) Owner's Installation and Maintenace Responsibilities)(smoke and co detectors missing due to fire)(Fixtures and outlets compromised due to water and fire)105 CMR 410.330 (A) Smoke Detectors and Carbon Monoxide Alarms(Smoke and CO Detectors missing due to fire)105 CMR 410.500 (A 1,2) Owner's Responsibility to Maintain Building and Structural Elements(walls, floor, ceilings open to elements due to fire, smoke and water damage throughout entire dwelling due to fire, windows missing due to fire)105 CMR 410.520 (A,1) Protective Railings and Walls(railing front second floor hall stairwell ripped off)105 CMR 410.630 (A,3,10,12,13,15,16) Conditions Deemed to Endanger or Materially Impair Health or safety","","","",Cited,""
HSNG-25-1136,105 CMR 410.570 (B) Maintenance of Areas in a Sanitary and Safe Condition(dog feces throughout second floor unit),Tenant,"","",Cited,""
HSNG-25-1110,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms (A)(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.(Missing smoke CO detector in living room)(Missing smoke detector in rear second floor hallway)(Missing hardwired smoke and CO detector in bedroom on second floor)(Missing hardwired smoke and CO detector in third floor bedroom)(Missing hardwired smoke and CO detector in basement)(Non-functioning smoke and CO detector in third floor hallway)(Non-functioning smoke and CO detector in third floor bedroom)Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.Note: Dwelling does have one working hardwired smoke and CO detector in basement",Owner,Second and third floor,10/24/2025,Cited,""
HSNG-25-1096,"Immediate Condemnation of Second Floor & Attic Conditions Deemed to Endanger or Materially Impair Health or Safety - 105.CMR.410.630 (A) (1) (2) (6) (7) (10) (12) (13) INSUFFICIENT HOT WATER 105.CMR.410.150 (B) (C)(emergency, no hot water, hot water temperature at time of inspection was 67.5°F) NO HEAT - 105.CMR.410.180 (A)(1) (2) (emergency no heat, temperature of apartment at time of inspection was 55.6°F at time of inspection) Kitchen Facilities -  105.CMR.410.100 (A) (5) (Emergency no cooking facilities/stove) structural members -  105.CMR.410.500 (A) (1) (2) (Kitchen, ceiling, water damage, Second floor, hallway, ceiling, water, damaged, holes, second floor and third floor bathrooms, open walls, exposed framing,) Owner’s Installation, Maintenance and Repair Responsibilities -  105.CMR.410.235 (A) (12) (Exposed wires, first floor bathroom, second floor bathroom outlets missing covers) Bathroom facilities 105.CMR.410.110 (B) (2) (3) (third-floor bathroom bathtub/shower have been removed, and missing sink)Owner’s Installation, Maintenance and Repair Responsibilities -  105.CMR.410.235 (A) (3)(Second and third floors bathroom toilet disconnected at time of inspection) MAINTENANCE OF LAND AND AREAS 105.CMR.410.570 (A) (1) (C) (1) (Refuse/trash bag in front yard, Common areas of shared second floor and third floor are filled with bulk/litter/trash/miscellaneous debris, bathrooms, kitchen, area, etc.",Owner,"","",Cited,""
HSNG-25-1090," 105.CMR.410.270 (A) 3(Main entryway door to residence does not lock, broken, unsecured from unlawful entry)",Owner,"",10/10/2025,Corrected,1342971
HSNG-25-1084," 105.CMR.410.270 (A) (1) (2) (6)(Rear entryway door was jammed shut but now does not lock, bedroom window on first floor is broken, dwelling unit is unsecured from unlawful entry)",Owner,"",10/10/2025,Cited,""
HSNG-25-1084," 105.CMR.410.530 (A) (1) (2) (Broken glass pane in bedroom window, living room window is sealed shut)",Owner,"",10/10/2025,Cited,""
HSNG-25-1084," 105.CMR.410.500 (A) 2(Floorboards in bedroom rising, floor sloping on other side of same room)",Owner,"",10/10/2025,Cited,""
HSNG-25-1084, 105.CMR.410.235 (A) 8(Stove top missing two burners),Owner,"",10/10/2025,Cited,""
HSNG-25-1084,"105.CMR.410.570 (B)(Dwelling unit is unsanitary, dog droppings and urine on kitchen floor, accumulation of litter/waste, soiled laundry)",Tenant,"",10/10/2025,Cited,""
HSNG-25-1084, 105.CMR.410.510 (Structural damage to bedroom door caused by tenant),Tenant,"","",Cited,""
HSNG-25-1069,"IMMEDIATE CONDEMNATION ENTIRE DWELLING DUE TO CONDITIONS DEEMED UNSAFE MISSING DETECTORS AND EXPOSED WIRING 105.CMR.410.003: General Provisions(C) (No water service)105 CMR 410.520 Protective Railings and Walls (A,2)(missing guard)105.CMR.410.330: Smoke Detectors and Carbon Monoxide Alarms(A)(No smoke detectors throughout unit 2nd and 3rd floor and basement)105 CMR 410.235 Owner’s Installation and Maintenance Responsibilities (A,12)( electrical panel completely exposed, wires exposed in other areas of basement)105 CMR 410.630 Conditions Deemed to Endanger or Materially Impair Health or Safety (13,15,16)",Owner,"","",Cited,""
HSNG-25-1068,"IMMEDIATE CONDEMNATION DUE TO WATER SHUT OFF FOR NON- PAYMENT105.CMR.410.003: General Provisions(C)(water shut off) 105.CMR.410.130: Potable Water/Sanitary Drainage(A)( water shut off)105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A)(1,3,5)( water shut off)",Owner,"",10/08/2025,Cited,1342062
HSNG-25-1017,"","","","",Corrected,""
HSNG-25-1017,"IMMEDIATE CONDEMNATION— 3rd floor unit one means of egress .105 .CMR .410.003: (A)General Provisions( illegal 3rd floor unit with one means of egress ) 105.CMR.410.260: (A) Means of Egress(One means of egress 3rd floor unit )105.CMR.410.330: Smoke Detectors and Carbon Dioxide Detectors ( smoke/co2 detector not working in basement and 3rd floor unit ) 105.CMR.410.630: (A 8,15 )Conditions  Deemed to Endanger or Materially Impair Health or Safety ",Owner,"","",Cited,""
HSNG-25-1012,"INSUFFICIENT HOT WATER 105.CMR.410.150 (B) ( C )(Emergency no hot water, hot water temperature at time of inspection was 65.3°F)Owner’s Installation, Maintenance and Repair Responsibilities -  105.CMR.410.235 (A)(7)(12)( emergency, hot water heater/boiler leaking in basement, exposed wires in basement, multiple outlets missing covers throughout unit)structural members -  105.CMR.410.500 (A) (1) (2) (Multiple broken windows, living room, kitchen, bedroom number one, left side second floor, porch, floorboards, broken, loose, unsecured, room, number two wall outlet access point open, hole in wall)",Owner,"","",Cited,""
HSNG-25-1004,105.CMR.410.260: ( A)Means of Egress( egress blocked due to fire ),Owner,"","",Cited,""
HSNG-25-1004,105.CMR.410.570: ( A)Maintenance of Areas in a Sanitary and Safe Condition( Fire debris in driveway ),Owner,"","",Cited,""
HSNG-25-1002,CURTAILMENT OF SERVICE 105.CMR.410.003 ( C )Water Service Shut Off due to nonpayment Potable Water/Sanitary Drainage 105.CMR.410.130,Owner,"",10/06/2025,Cited,""
HSNG-25-996,"CURTAILMENT OF SERVICE 105.CMR.410.003 ( C )Per Springfield Water and Sewer water service has been shut off due to non-payment on 9-29-2025Potable Water/Sanitary Drainage 105.CMR.410.130 (A)Conditions Deemed to Endanger or Materially Impair Health or Safety 105.CMR 410.630 (A) 1,3",Owner,"",10/06/2025,Cited,""
HSNG-25-977,IMMEDIATE CONDEMNATION - Illegal rooms in basement105.CMR.410.003: (A)General Provisions( 3 rooms in basement being used for sleeping purposes)105.CMR.410.260: (A) Means of Egress(Only one means of egress in basement )105.CMR.410.630: (A8)(A13)(A15)Conditions Deemed to Endanger or Materially Impair Health or Safety ,Owner,"","",Cited,""
HSNG-25-977,105.CMR.410.330: ( A)Smoke Detectors and Carbon Dioxide Detectors ( smoke detectors missing common area rear hallway ),Owner,"","",Cited,""
HSNG-25-977,105.CMR.410.270: Locks( padlocks being used ),Owner,"","",Cited,""
HSNG-25-977,"105.CMR.410.320:(A 1,3) Electrical Service( extension cords being used throughout basement for hot plates, Etc. )",Both,"","",Cited,""
HSNG-25-977,105.CMR.410.235: ( A 12) Owner’s Installation and Maintenance Responsibilities ( exposed wiring ).,Owner,"","",Cited,""
HSNG-25-977,105.CMR.410.430: (A1) Natural Light and Obstructions( No windows in bedroom # 3 ),Owner,"","",Cited,""
HSNG-25-976,"105 CMR 410.235 (A,13) Owner’s Installation and Maintenance Responsibilities (Smoke detector missing in bedroom right and hanging on third floor hall)",Owner,"",10/03/2025,Corrected,""
HSNG-25-972,"105 CMR 410.235 Owner’s Installation and Maintenance Responsibilities (A,13)(Non working and missing smoke detectors in front hall from first floor up to the third and in third floor unit)",Owner,"","",Corrected,""
HSNG-25-958," 105.CMR.410.500 (A) (1) (2)(Severe structural damage in bathroom, ceiling collapsed, evidence of water damage, structural violations throughout unit)",Owner,"",10/06/2025,Corrected,""
HSNG-25-958," 105.CMR.410.235 (A) 12(Incorrectly wired outlets throughout unit, potential hazards, faulty light fixture)",Owner,"",10/06/2025,Corrected,""
HSNG-25-952," 105.CMR.410.330 (A)(Insufficient amount of smoke detectors in unit, only one in kitchen, another is needed in hallway or front bedroom)",Owner,"",10/02/2025,Corrected,1339832
HSNG-25-945," 105.CMR.410.500 (A) (1) (2)(Severe water damage and evidence of excess moisture throughout unit, heavy buildup of mold like substance, ceiling collapsed in living room, water damaged ceiling tiles, damaged and jammed doors)",Owner,"",10/03/2025,Cited,""
HSNG-25-945," 105.CMR.410.235 (A) 12(Water damage end evidence of excess moisture around pantry light fixture, appears hazardous)",Owner,"",10/03/2025,Cited,""
HSNG-25-938,"*THE HOT WATER TEMPERATURE WAS 69° AT TIME OF INSPECTION.(105. CMR. 410. 150.) HOT WATER.  (A) (B) ( C)(105. CMR. 410. 235.) OWNERS, INSTALLATION, MAINTENANCE AND REPAIR RESPONSIBILITIES. (A) 4",Owner,L5,10/06/2025,Cited,""
HSNG-25-890,"105.CMR.410.500 (A) (1) (2)(Severe structural damage in rear bedroom ceiling, caved in, insulation and debris present within dwelling)",Owner,"",09/29/2025,Corrected,""
HSNG-25-879,"105.CMR.410.260: Means of Egress (D) (2)(D) In a multi-unit residence:(2) The owner shall ensure every means of egress is maintained at all times in a safe, operable condition(Front door to second floor unit takes excessive effort to open)105.CMR.410.270:Locks (A) The owner shall provide, install and maintain locks in the following manner and shall comply with the requirements of 780 CMR: Massachusetts State Building Code and 521 CMR: Architectural Access Board Regulations, and M.G.L. c. 143 § 3R so that:(2) Every entry door of a dwelling unit shall be capable of being secured against unlawful entry.(Deadbolt lock cannot be secured from the inside. Tenant can only lock deadbolt from outside with a key)",Owner,Second floor,"",Corrected,""
HSNG-25-879,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.(Nonfunctioning smoke detector in first floor rear hallway and second floor rear hallway)",Owner,Second floor,"",Corrected,""
HSNG-25-877,"",Owner,1,10/29/2025,Cited,""
HSNG-25-858,"",Owner,"","",Cited,""
HSNG-25-858,"Immediate condemnation of Entire 2ND floor Dwelling UnitGeneral Provisions - 105.CMR.410.003 (A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(2ND floor office space converted into illegal dwelling unit) Smoke Detectors and Carbon Monoxide Alarms 105.CMR.410. 330: (A) (Emergency no smoke detectors or CO2 detectors within unit whatsoever, please note: (fire department referral made) INADEQUATE SPACE FOR HABITABLE ROOM 105.CMR.410.420 (B) (Unit does not meet Habitable space requirements, ceiling height was measured 6.8 feet at time of inspection)Conditions Deemed to Endanger or Materially Impair Health or Safety - 105.CMR.410. 630 (A) (8) (15) ",Owner,"","",Cited,""
HSNG-25-858,"OBSTRUCTED EGRESS OR PASSAGEWAY 105.CMR.410.260 (A) (B) (Emergency, no second means of egress, rear stairway/corridor leads directly into a commercial space instead of leading directly outside, first main door egress is partially obstructed by miscellaneous debris in stairway/hallway, consisting of bags, bulk items, dollies, oil, cans, etc.)",Both,"","",Cited,""
HSNG-25-825,"UNIT CONDEMNATION SECOND FLOOR REAR Smoke Detectors and Carbon Monoxide Alarms 105.CMR.410.330: (A)(Emergency no operable smoke detectors or Carbon Monoxide detectors present in the unit) Fire Department referral made.KITCHEN FACILITIES 105.CMR.410.100: A (1,2,3,4,5,) ( Emergency no Kitchen facility present)There is no stove, no sink, no countertop for preparing food, no cabinets.BATHROOM FACILITIES 105.CMR.410.110 A (1,2,3)(Emergency TOILET, SINK AND SHOWER PRESENT BUT NOT ENCLOSED AND SEPARATED FROM LIVING AREA)CEILING SAGGING, WATER STAINED, WATER DAMAGED 105.CMR.410.500 (A)2 LEAK UNKNOWN SOURCECONDITIONS DEEMD TO ENDANGER OR MATERIALLY IMPAIR HEALTH OR SAFETY 105.CMR.410.630 A(7(A),12,15)Main entry door leads to sink, toilet and shower kit which is part of living areaRefrigerator and Microwave in the middle of living areaCeiling tiles water damagedCeiling tiles sagging",Owner,"","",Cited,""
HSNG-25-821,"105.CMR.410.500 (A) (1) (2) (Severe structural and water damage throughout unit, ceiling tiles have caved in, damage has caused kitchen cabinets to fall off wall, buildup of mold like substance, active leak, standing water, entryway door damaged due to previous fire dept call) ",Owner,"",09/29/2025,Cited,""
HSNG-25-821,"105.CMR.410.235 (A) 12(Light fixture in closet inoperable, active leak in its proximity, appears hazardous) ",Owner,"",09/29/2025,Cited,1338777
HSNG-25-821,105.CMR.410.330 (A)(No smoke detector in dwelling unit),Owner,"",10/02/2025,Cited,1339871
HSNG-25-809,"INSUFFICIENT HOT WATER 105.CMR.410.150 (B)(Emergency no hot water, hot water temperature at time of inspection was 69.6°F) The structural members -  105.CMR.410.500 (A) (1) (2)(Wall and ceiling, water damage, bathroom)Smoke Detectors and Carbon Monoxide Alarms 105.CMR.410. 330: (A) (Emergency multiple missing smoke detectors in unit (please note : one working smoke detector in unit hallway noticed) ",Owner,"","",Cited,""
HSNG-25-780,"105 CMR 410.235 (A,1,3,12,13) Owner’s Installation and Maintenance Responsibilities ( light switches missing covers second floor front landing and first floor rear landing, light fixture second floor bedroom hanging exposing wires, second floor bathroom sink needs caulking, toilet loose second floor bathroom)105 CMR 410.520 (A,1) Protective Railings and Walls(No hand railing back stair well and in basement stairwell)0",Owner,"","",Cited,""
HSNG-25-773,"105.CMR.410.003: General Provisions (C)( water shut off by owner)105.CMR.410.130: Potable Water/Sanitary Drainage(A) The owner shall provide a supply of potable water sufficient in quantity and pressure to meet the ordinaryneeds of every occupant.( water shut off)105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A)(1,3,5)",Owner,21,09/18/2025,Cited,1335334
HSNG-25-771,"Condemnation: Entire Dwelling/Fire105.CMR.410.003: General Provisions(C) No owner or occupant shall cause any service, facility, equipment, or utility which is required to be made available by 105 CMR 410.000, or any optional service, facility, equipment, or utility provided by the owner, to be removed from or shut off from any occupied residence except for such temporary period as may be necessary during actual repairs or alterations and where reasonable notice of curtailment of service is given to the occupant, or during temporary emergencies when curtailment of service is approved by the board of health. If any such service, facility, equipment, or utility becomes curtailed, the responsible party shall take immediate steps to cause its restoration. (See M.G.L. c. 186, § 14).(Electrical service shut off due to fire)105.CMR.410.235: A-12 Owner’s Installation and Maintenance Responsibilities (Fixtures, Switches and Wiring Compromised, Due to Fire and Water) 105.CMR.410.330: (A) Smoke Detectors and Carbon Monoxide Alarms(smoke detectors/carbon monoxide alarms in disrepair)105.CMR.410.500: A-2) Owner's Responsibility to Maintain Building and Structural Elements(Smoke, Water and Fire Damage. Ceilings And Walls. Roof open to elements)  105.CMR.410.500: A-2)Owner's Responsibility to Maintain Building and Structural Elements(Siding, Windows: Broken, Missing, Boarded - Due to Fire) Roofing:105.CMR.410.500: A-2)Owner's Responsibility to Maintain Building and Structural Elements(Holes in Roof, Due to Fire.)105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A-1,3,4,5)(Fire debris)105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A-3,10,12,13,15)",Owner,1&2,"",Cited,""
HSNG-25-771,"",Owner,"","",Cited,""
HSNG-25-771,Condemnation Posted.,Owner,"","",Cited,""
HSNG-25-767,105.CMR.410.150: Hot WaterThe owner shall provide and maintain in good operating condition facilities capable of heating and delivering hot water:(A) In a quantity and pressure sufficient to satisfy the ordinary use of all plumbing fixtures which normally need hot water for their proper use and function.(B) In a temperature range of not less than 110° F(430°C) and not greater than 130°F (540°C) for fixtures other than a bathtub or shower.(C) In a temperature range of not less than 110°F (430°C)and not greater than 120°F(480°C) for a bathtub or shower. ( water temperature at time of inspection 72.5°F ),Owner,"","",Corrected,""
HSNG-25-767,"105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural ElementA) every owner of a residence shall maintain all building structural elements in compliance with accepted standards, so they are in good repair, and in every way fit for intended use, including:(1) protected from wind, rain, and snow, and our weather, tight, free from excess moisture, or the appearance of mold and pest resistant; and(2) free from holes, cracks, loose plaster, or defects that renders the area, difficult to keep clean, create an injury risk, or provided entry or harborage of pest.(B) In the event of leaks and flooding, the owner shall ensure all surfaces have been dried within 48 hours from the time they are notified or the end of the event, whichever is sooner.( Basement has puddle of water ) ",Owner,"","",Corrected,""
HSNG-25-759,"Condemnation: 3rd Floor Dwelling Unit - 1 Means of Egress105.CMR.410.330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.(Smoke Detectors missing,Front and rear common Hallways)",Owner,"","",Cited,""
HSNG-25-759,105.CMR.410.260: Means of Egress(A) Every residence shall have at a minimum two means of egress and every dwelling unit and rooming unit shall have a sufficient number of egresses as will allow for the safe passage of all people.(Illegal 3rd Flr unit.1 Means of Egress),Owner,3rd Flr,"",Cited,""
HSNG-25-759,"105.CMR.410. 630(A) 8,15  Conditions Deemed to Endanger or Materially Impair Health or Safety(A) The following conditions, when found to exist in a residence, shall always be deemed conditions which may endanger or materially impair the health, or safety and well-being of a person or persons occupying the premises:(8) Failure to provide and maintain adequate exits, or the obstruction of any exit, passageway or common area caused by any object, including refuse, which prevents egress in case of an emergency required by 105 CMR 410.260.(15) Failure to provide a smoke detector or carbon monoxide alarm required by 105CMR410.330(1 Means of Egress)",Owner,3,"",Cited,""
HSNG-25-759,105.CMR.410.003(A) General Provisions(Illegal 3rd floor dwelling unit) ,Owner,3,"",Cited,""
