Record #,Code / Description,Responsible Party,Unit(s),Status,Picture,Correction Required By:
HSNG-25-1460,T.V.s Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( T.V.s on tree belt),Owner,"",Cited,1351921,12/03/2025
HSNG-25-1458,105.CMR.410.550 Elimination of Pests(B) (Bee infestation),Owner,"",Cited,"",""
HSNG-25-1457,"Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( furniture, mattresses, pool table, household items) ",Owner,"",Cited,1351710,11/25/2025
HSNG-25-1456,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Pile of broken furniture, cardboard boxes, crates, miscellaneous debris",Owner,"",Cited,1351676,11/10/2025
HSNG-25-1454,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Dishwasher, toy stroller and vacuum cleaner left on the treebelt",Owner,"",Corrected,1351568,11/10/2025
HSNG-25-1452,105.CMR.410.530: Weathertight Elements( window in bedroom no weather tight ),Owner,"",Cited,"",""
HSNG-25-1452,105.CMR.410.500: (A)Owner's Responsibility to Maintain Building and Structural Elemenets ( doorbell not working ) ,Owner,"",Cited,"",""
HSNG-25-1451,"105 CMR 410.235 (A,14) Owner's Installation and Maintenance Responsibilities(Furnace return pipe leaking)105 CMR 410.500 (A,2) Owner’s Responsibility to Maintain Building and Structural Elements ( Damaged walls, floors and ceilings throughout, cracked window 2nd flr bedroom, broken glass first floor landing)105 CMR 410.520 Protective Railings and Walls (A,2)(wall guard to not correct height)105 CMR 410.570 (A,1,3,5) Maintenance of Areas in a Sanitary and Safe conditionMaintenance of Land – YARD PROPERTY TREEBELT AND GUTTERPaper,Plastic,Cardboard,EtcProperty must be cleaned and maintained at all timesTo Avoid A Possible $100.00 Ticket Every 3 Days Until Property Is Completely Cleaned And Maintained. Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAYTO AVOID IMMEDIATE TICKET(Trash bags in yard, mattresses)",Owner,"",Cited,"",""
HSNG-25-1451,"105 CMR 410.570 (B) Maintenance of Areas in a Sanitary and Safe Condition(clutter, unsanitary conditions(dirty clothes and items))",Tenant,"",Cited,"",""
HSNG-25-1450,"THE BATHROOM SINK FAUCET IS BROKEN, DEFECTIVE, LEAKING.THE WALL AROUND THE BATHROOM WINDOW IS CRACKED, PEELING, DEFECTIVE.*(105. CMR. 410. 500.) OWNERS RESPONSIBILITY TO MAINTAIN BUILDING AND STRUCTURAL ELEMENTS. (A) 1, 2,  (B)*(105. CMR. 410. 235.) OWNERS, INSTALLATION, MAINTENANCE AND REPAIR RESPONSIBILITIES. (C) 1, 2, 3",Owner,Unit 3C,Cited,"",""
HSNG-25-1449,"structural members -  105.CMR.410.500 (A) (1) (2)(bathroom ceiling water damage , hole in closet ceiling bedroom, number one, front porch in disrepair, wood is rotting,) ",Owner,"",Cited,"",""
HSNG-25-1446,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Backyard is overgrown, accumulation of miscellaneous large debris throughout)",Owner,"",Cited,1352548,12/05/2025
HSNG-25-1445,"INFESTATION OF ROACHES - RAT - MICE - VERMIN 105.CMR.410.550 (A) ( B)(Infestation of mice, and roaches) structural members -  105.CMR.410.500 (A) (1) (2)(Bathroom ceiling water damage) ",Owner,"",Cited,"",""
HSNG-25-1444,"CHAPTER 327 Article I § 327-13 LITTER OCCUPIED ( A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Etc.Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street  Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY.",Owner,"",Cited,"",""
HSNG-25-1443,"Chapter 327 Article 1 § 327-14 Unregistered Motor Vehicle ( A,B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished by a fine",Owner,"",Cited,"",""
HSNG-25-1442,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1441,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1440,LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Accumulation of litter and construction debris in lot),Owner,"",Corrected,1351287,11/17/2025
HSNG-25-1439,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1438,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1437,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1436,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Mattresses left in front of residence, blocking sidewalk)",Owner,"",Corrected,1351266,11/24/2025
HSNG-25-1435,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1434,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Bulk furniture items left in yard by waste barrels),Owner,"",Cited,1351265,11/17/2025
HSNG-25-1433,"Chapter 327 Article 1 § 327-14 Unregistered Motor Vehicle ( A,B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished by a fine .",Owner,"",Cited,"",""
HSNG-25-1433,"CHAPTER 327 Article I § 327-13 LITTER OCCUPIED ( A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Etc.Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street  Area.  ",Owner,"",Cited,"",""
HSNG-25-1432,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Accumulation of litter on side of residence),Owner,"",Cited,1351264,11/17/2025
HSNG-25-1431,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1431,"CHAPTER 327 Article I § 327-13 LITTER OCCUPIED ( A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Etc.Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street  Area.  ",Owner,"",Cited,"",""
HSNG-25-1430,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Bulk furniture left on tree belt in front of residence),Owner,"",Corrected,1351259,11/24/2025
HSNG-25-1429,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1425,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished bny a fine of not less than $10 nor more than $50.  ",Owner,"",Corrected,"",""
HSNG-25-1424,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A),Owner,"",Cited,1350984,11/21/2025
HSNG-25-1422,105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)(1)( kitchen ceiling /wall damaged ),Owner,"",Cited,1352714,11/26/2025
HSNG-25-1420,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Black Ford Fusion,Owner,"",Cited,1350685,11/13/2025
HSNG-25-1419,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Blue Honda Accord,Owner,"",Cited,1350650,11/13/2025
HSNG-25-1414,"105 CMR 410.500 (A,2) Owner's Responsibility to Maintain Building and Structural Elements( wall damage in bedroom)105 CMR 410.550 Elimination of Pests (B) ( evidence of bedbugs)",Owner,"",Cited,"",""
HSNG-25-1412,"105.CMR.410.550 Elimination of PestsOwners and occupants are responsible for the control and elimination of pests as follows: (B)The owner of a residence containing two or more dwelling units, including a homeless shelter or a rooming house, shall maintain it and its premises free from infestation and shall be responsible for pest elimination.(Mice)",Owner,"",Cited,"",""
HSNG-25-1412," 105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities The owner shall ensure proper installation, in compliance with accepted standards and shall maintain in operable condition free from leaks, obstructions or other defects, all facilities and equipment which the owner is required to provide, and all owner installed equipment: (A) The facilities and equipment the owner is required to provide include, but are not limited to:(12) Electrical light fixtures, switches, outlets and wiring; (Electrical Panel missing breakers)",Owner,"",Cited,"",""
HSNG-25-1407,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)( Hyundai, grey)",Owner,"",Cited,1350008,11/20/2025
HSNG-25-1406,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)( sedan,BlackLITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( tires)",Owner,"",Cited,1349997,11/20/2025
HSNG-25-1405,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)( Ford pu, grey)",Owner,"",Cited,1349992,11/20/2025
HSNG-25-1403,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public.(Trash,Litter and Debris)",Owner,"",Cited,"",""
HSNG-25-1402,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)(Toyota/Red),Owner,"",Cited,"",""
HSNG-25-1400,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)(Toyota/Grey),Owner,"",Cited,"",""
HSNG-25-1398,105.CMR.410.100: (A6)Kitchen Facilities(6) A refrigerator with freezer containing a combined storage area of at least 11.0 cubic feet except and to the extent the occupant is required to provide and maintain these items under a written rental agreement.( Refrigerator 10.1 cubic feet ) ,Owner,"",Cited,"",""
HSNG-25-1398,"105.CMR.410.180: Temperature Requirements(A) The owner shall provide heat in every habitable room and every room containing a toilet, shower, or bathtub from September 15th through May 31st inclusive so that it shall be:(1) At least 68°F(20°C)between 7:00 A.M. and 11:00 P.M.; and (2) At least 64°F (17°C)between 11:01 P.M. and 6:59 A.M.(B) At no time shall the heating system, required by 105 CMR 410.160(A), used during the heating season cause the temperature to exceed 78°F(25°C)in any room. ( temperature at time of inspection 59°F )",Owner,"",Cited,"",""
HSNG-25-1398,105.CMR.410.150: Hot WaterThe owner shall provide and maintain in good operating condition facilities capable of heating and delivering hot water:(A) In a quantity and pressure sufficient to satisfy the ordinary use of all plumbing fixtures which normally need hot water for their proper use and function.( kitchen faucet water pressure low ),Owner,"",Cited,"",""
HSNG-25-1398,"105.CMR.410.235: ( A 12,15)(B 7)Owner’s Installation, Maintenance and Repair Responsibilities( outlet in bathroom not properly working, fridge not proper size ,Range ventilation hood not working properly. Baseboard heater knob missing )","","",Cited,"",""
HSNG-25-1398,105.CMR.410.520: Protective Railings and Walls(A) Every owner of a residence shall provide:(1) A safe handrail on at least one side of a stairway as required by 780 CMR: Massachusetts State Building Code.,Owner,"",Cited,"",""
HSNG-25-1398,"105.CMR.410.540: Installation of Screens(A) The owner shall provide and install screens for exterior openable windows so that:(1) They are in place during the period from April 1st to October 31st in each year;(2) They are no less than 16 mesh per square inch;(3) They cover that part of the window designed to be opened, except in double hung windows where half screens shall meet this requirement; and(4) They are tight fitting and prevent the entrance of pests.(B) Expandable, temporary screens shall not satisfy the requirements of 105 CMR 410.540(A).( expandable screens in use , screens missing , ripped )",Owner,"",Cited,"",""
HSNG-25-1399,"105 CMR 410.560 Refuse (D,1)(Trash barrels have broken tops)",Owner,"",Cited,"",""
HSNG-25-1397,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Litter,Debris,Furniture)",Owner,"",Cited,"",""
HSNG-25-1396,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Overgrowth of Grass,Weeds,Bushes,Etc)",Owner,"",Corrected,"",""
HSNG-25-1395,"105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements( A) ( gutter disconnected, hanging)",Owner,"",Cited,1349859,11/20/2025
HSNG-25-1394,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)( BMW, Grey)",Owner,"",Cited,1349853,11/20/2025
HSNG-25-1393,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public(Mattresses,Tarps,buckets,Etc)",Owner,"",Cited,"",""
HSNG-25-1392,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( couch on tree belt),Owner,"",Cited,1349835,11/20/2025
HSNG-25-1391,Placement of Containers for Ashes & Rubbish – Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)(Blue barrel left out front) ,Owner,"",Cited,"",""
HSNG-25-1389,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Wooden materials in rear yard) ,Owner,"",Cited,"",""
HSNG-25-1390,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Paper,plastic,cardboard,etc)",Owner,"",Cited,"",""
HSNG-25-1388,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Litter, bulk items in rear yard) ",Owner,"",Cited,"",""
HSNG-25-1387,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Litter, mattresses).",Owner,"",Cited,"",""
HSNG-25-1386,"LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Trash and litter, vacant lot) ",Owner,"",Cited,"",""
HSNG-25-1385,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Trash, litter, paper, plastic, cardboard, boxes, bags, metal items, etc.) ",Owner,"",Cited,"",""
HSNG-25-1383,Placement of Containers for Ashes & Rubbish – Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)(Trash barrels left out front) LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Broken TV) ,Owner,"",Cited,"",""
HSNG-25-1382,Placement of Containers for Ashes & Rubbish – Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)(Trash barrels on public sidewalk) ,Owner,"",Cited,"",""
HSNG-25-1379,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public.(Furniture and Debris.Tractor trailers on vacant lot)",Owner,"",Cited,1349687,""
HSNG-25-1378,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Storage bench and backpack left on the treebelt ,Owner,"",Corrected,1349511,11/04/2025
HSNG-25-1376,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Car tires left on the treebelt ,Owner,"",Corrected,1349420,11/04/2025
HSNG-25-1375,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)chairs and miscellaneous scrap metal left on the curb,Owner,"",Corrected,1349351,11/04/2025
HSNG-25-1368,"105.CMR.410.003: General Provisions(A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(C) No owner or occupant shall cause any service, facility, equipment, or utility which is required to be made available by 105 CMR 410.000, or any optional service, facility, equipment, or utility provided by the owner, to be removed from or shut off from any occupied residence except for such temporary period as may be necessary during actual repairs or alterations and where reasonable notice of curtailment of service is given to the occupant, or during temporary emergencies when curtailment of service is approved by the board of health. If any such service, facility, equipment, or utility becomes curtailed, the responsible party shall take immediate steps to cause its restoration.( water shut off per SWSC ) ",Owner,"",Cited,1349439,""
HSNG-25-1367,"105.CMR.410.003: General Provisions(A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(C) No owner or occupant shall cause any service, facility, equipment, or utility which is required to be made available by 105 CMR 410.000, or any optional service, facility, equipment, or utility provided by the owner, to be removed from or shut off from any occupied residence except for such temporary period as may be necessary during actual repairs or alterations and where reasonable notice of curtailment of service is given to the occupant, or during temporary emergencies when curtailment of service is approved by the board of health. If any such service, facility, equipment, or utility becomes curtailed, the responsible party shall take immediate steps to cause its restoration.( water shut off per SWD) ",Owner,"",Cited,"",""
HSNG-25-1365,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A) Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Sofa sections left on the treebelt,Owner,"",Cited,1349112,11/03/2025
HSNG-25-1362,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Car Tires left on treebelt along Glenwood Street,Owner,"",Cited,1349035,11/03/2025
HSNG-25-1361,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Blue Honda Civic,Owner,"",Corrected,1349018,11/10/2025
HSNG-25-1357,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)1,3(Toilet loose no seal at bottom)(Bathroom sink loose off the wall)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)2(Tiles broken/cracked)(Bathroom ceiling water damage )(Bathroom door off hinges)(Main door trim broken)105.MCR.410.270: Locks(a)6(Window locks defective off track)",Owner,"",Cited,"",""
HSNG-25-1354,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Litter, debris on driveway)",Owner,"",Cited,"",""
HSNG-25-1353,"RADIATORS MISSING - LEAKING - FAULTY 105.CMR.410.235 (A) 14( radiators, not providing enough heat, heat does not travel all the way through the elbow into the radiator)",Owner,"",Cited,"",""
HSNG-25-1352,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area. (Trash bag on tree belt),Owner,Exterior,Cited,"",""
HSNG-25-1351," CHAPTER 327 Article I § 327-13 LITTER OCCUPIED ( A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Etc.Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  nStreet Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY.",Owner,"",Cited,"",""
HSNG-25-1350,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition(A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in aclean, safe, and sanitary condition. (A) (1) (2) (3) (4) (5)(Barrels and recycling bins full of trash, tire, buckets, wood pallet, paper, plastic, miscellaneous items and debris scattered in yard and along sidewalk) OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  (overgrowth in yard and fence along sidewalk. leaves and yard debris scattered around rear of property)",Owner,Exterior,Cited,"",12/16/2025
HSNG-25-1350,"",Owner,"",Cited,"",""
HSNG-25-1348,"LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Bulk items, mattresses, couch, furniture, miscellaneous items piled at side of building)",Owner,Exterior,Cited,"",""
HSNG-25-1349,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1347,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1346,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Mattress spring left in driveway area),Owner,"",Cited,1348854,11/10/2025
HSNG-25-1345,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1344,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ( Trash day Tuesday )",Owner,"",Cited,"",""
